part,instance,algorithm,runs,feasible_runs,best_cost,mean_cost,std_cost,best_gap_percent,mean_gap_percent,mean_elapsed_time,mean_cpu_time,best_seed
cvrp,A-n32-k5,baseline,3,3,828.7019,828.7019,0.0000,5.7018,5.7018,0.001128,0.001110,42
cvrp,A-n32-k5,cvrp_aco,3,3,817.2447,821.5296,3.7890,4.2404,4.7870,4.177694,4.112316,43
cvrp,A-n32-k5,cvrp_alns,3,3,787.0819,814.8280,24.0288,0.3931,3.9321,0.152066,0.149692,44
cvrp,A-n32-k5,cvrp_bnb_lds,3,3,828.7019,828.7019,0.0000,5.7018,5.7018,0.009404,0.009257,42
cvrp,A-n32-k5,cvrp_ga_island,3,3,828.7001,828.7013,0.0010,5.7015,5.7017,0.399551,0.393297,42
cvrp,A-n32-k5,cvrp_sa,3,3,828.7019,828.7019,0.0000,5.7018,5.7018,0.023797,0.023422,42
cvrp,A-n32-k5,cvrp_tabu,3,3,828.7001,828.7001,0.0000,5.7015,5.7015,0.766577,0.754526,42
cvrp,A-n80-k10,baseline,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.004568,0.004498,42
cvrp,A-n80-k10,cvrp_aco,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,22.758825,22.399035,42
cvrp,A-n80-k10,cvrp_alns,3,3,1834.0072,1843.7278,8.5907,4.0276,4.5790,1.352220,1.330922,43
cvrp,A-n80-k10,cvrp_bnb_lds,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.477943,0.470395,42
cvrp,A-n80-k10,cvrp_ga_island,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.995684,0.979407,42
cvrp,A-n80-k10,cvrp_sa,3,3,1850.3007,1850.3007,0.0000,4.9518,4.9518,0.059824,0.058884,42
cvrp,A-n80-k10,cvrp_tabu,3,3,1845.8216,1848.7505,2.5380,4.6978,4.8639,2.418810,2.380916,43
cvrp,E-n22-k4,baseline,3,3,387.5430,387.5430,0.0000,3.3448,3.3448,0.000312,0.000307,42
cvrp,E-n22-k4,cvrp_aco,3,3,381.6895,381.6895,0.0000,1.7839,1.7839,1.300228,1.279776,42
cvrp,E-n22-k4,cvrp_alns,3,3,375.2798,375.2798,0.0000,0.0746,0.0746,0.053898,0.053049,42
cvrp,E-n22-k4,cvrp_bnb_lds,3,3,387.5430,387.5430,0.0000,3.3448,3.3448,0.002368,0.002330,42
cvrp,E-n22-k4,cvrp_ga_island,3,3,384.0561,384.0561,0.0000,2.4149,2.4149,0.205528,0.202298,42
cvrp,E-n22-k4,cvrp_sa,3,3,387.5430,387.5430,0.0000,3.3448,3.3448,0.016029,0.015777,42
cvrp,E-n22-k4,cvrp_tabu,3,3,384.0561,384.0561,0.0000,2.4149,2.4149,0.667927,0.657420,42
cvrp,M-n200-k17,baseline,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,0.049478,0.048545,42
cvrp,M-n200-k17,cvrp_aco,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,142.074400,139.811442,42
cvrp,M-n200-k17,cvrp_alns,3,3,1351.4311,1353.4571,3.2270,5.9946,6.1535,26.955609,26.511630,43
cvrp,M-n200-k17,cvrp_bnb_lds,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,2.715303,2.643567,42
cvrp,M-n200-k17,cvrp_ga_island,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,2.741212,2.697058,42
cvrp,M-n200-k17,cvrp_sa,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,0.162237,0.159709,42
cvrp,M-n200-k17,cvrp_tabu,3,3,1383.1988,1383.1988,0.0000,8.4862,8.4862,5.922058,5.829472,42
cvrp,P-n16-k8,baseline,3,3,461.9418,461.9418,0.0000,2.6537,2.6537,0.000335,0.000329,42
cvrp,P-n16-k8,cvrp_aco,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,0.844076,0.830799,42
cvrp,P-n16-k8,cvrp_alns,3,3,451.9471,455.6152,3.2152,0.4327,1.2478,0.042025,0.041365,43
cvrp,P-n16-k8,cvrp_bnb_lds,3,3,461.9418,461.9418,0.0000,2.6537,2.6537,0.001763,0.001735,42
cvrp,P-n16-k8,cvrp_ga_island,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,0.231273,0.227632,42
cvrp,P-n16-k8,cvrp_sa,3,3,456.9528,460.2788,2.8804,1.5451,2.2842,0.027460,0.027029,43
cvrp,P-n16-k8,cvrp_tabu,3,3,451.9471,451.9471,0.0000,0.4327,0.4327,1.345693,1.324630,42
cvrp,X-n101-k25,baseline,3,3,35062.5378,35062.5378,0.0000,27.0796,27.0796,0.065029,0.063885,42
cvrp,X-n101-k25,cvrp_aco,3,3,34613.1373,34762.9375,259.4615,25.4508,25.9937,25.621112,25.157309,42
cvrp,X-n101-k25,cvrp_alns,3,3,35062.5378,35062.5378,0.0000,27.0796,27.0796,2.377338,2.337985,42
cvrp,X-n101-k25,cvrp_bnb_lds,3,3,35062.5378,35062.5378,0.0000,27.0796,27.0796,3.620343,3.539801,42
cvrp,X-n101-k25,cvrp_ga_island,3,3,34691.5954,34770.9862,68.7544,25.7352,26.0229,1.745536,1.712975,42
cvrp,X-n101-k25,cvrp_sa,3,3,35026.7513,35050.6090,20.6613,26.9499,27.0364,0.263827,0.259088,42
cvrp,X-n101-k25,cvrp_tabu,3,3,34991.2748,34991.2748,0.0000,26.8213,26.8213,8.567947,8.417527,42
