instance,algorithm,seeds,min_gap,median_gap,max_gap,mean_gap
A-n32-k5,aco,8,3.7204,4.5837,5.7018,4.6849
A-n32-k5,alns_effective,8,0.3931,5.7017,5.7018,4.3504
A-n32-k5,baseline,8,5.7018,5.7018,5.7018,5.7018
A-n32-k5,bnb_lds,8,5.7018,5.7018,5.7018,5.7018
A-n32-k5,ga_island,8,5.7015,5.7018,5.7018,5.7017
A-n32-k5,sa,8,0.4085,5.7018,5.7018,3.8802
A-n32-k5,tabu,8,5.7015,5.7015,5.7015,5.7015
A-n80-k10,aco,8,4.9518,4.9518,4.9518,4.9518
A-n80-k10,alns_effective,8,3.0168,4.8995,4.9518,4.4254
A-n80-k10,baseline,8,4.9518,4.9518,4.9518,4.9518
A-n80-k10,bnb_lds,8,4.9518,4.9518,4.9518,4.9518
A-n80-k10,ga_island,8,4.9518,4.9518,4.9518,4.9518
A-n80-k10,sa,8,4.9518,4.9518,4.9518,4.9518
A-n80-k10,tabu,8,4.6978,4.8880,4.9518,4.8530
P-n16-k8,aco,8,0.4327,0.4327,0.4327,0.4327
P-n16-k8,alns_effective,8,0.2967,0.2967,0.4327,0.3477
P-n16-k8,baseline,8,2.6537,2.6537,2.6537,2.6537
P-n16-k8,bnb_lds,8,0.2967,0.2967,0.2967,0.2967
P-n16-k8,ga_island,8,0.2967,0.4327,0.4327,0.3987
P-n16-k8,sa,8,0.2967,0.2967,0.4327,0.3307
P-n16-k8,tabu,8,0.4327,0.4327,0.4327,0.4327
X-n101-k25,aco,8,25.4508,25.4508,27.0796,25.9987
X-n101-k25,alns_effective,8,25.0112,26.8619,27.0796,26.6414
X-n101-k25,baseline,8,27.0796,27.0796,27.0796,27.0796
X-n101-k25,bnb_lds,8,27.0796,27.0796,27.0796,27.0796
X-n101-k25,ga_island,8,24.1950,25.0081,26.1668,25.2241
X-n101-k25,sa,8,26.2228,27.0796,27.0796,26.9335
X-n101-k25,tabu,8,26.8213,26.8213,27.0258,26.8724
